test_set,rank_within_test_set,image_id,dataset_index,threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate,gt_area,pred_area,pred_gt_area_ratio
TestingSet,1,TestingSet_000001,1,0.01,16,1066,38,2976,0.014787430683918669,0.2962962962962963,0.02816901408450704,0.014285714285714285,0.73046875,0.7362691736763978,0.2637308263236022,0.7037037037037037,54,1082,20.037037037037038
TestingSet,1,TestingSet_000001,1,0.02,16,1066,38,2976,0.014787430683918669,0.2962962962962963,0.02816901408450704,0.014285714285714285,0.73046875,0.7362691736763978,0.2637308263236022,0.7037037037037037,54,1082,20.037037037037038
TestingSet,1,TestingSet_000001,1,0.03,16,1066,38,2976,0.014787430683918669,0.2962962962962963,0.02816901408450704,0.014285714285714285,0.73046875,0.7362691736763978,0.2637308263236022,0.7037037037037037,54,1082,20.037037037037038
TestingSet,1,TestingSet_000001,1,0.04,16,1066,38,2976,0.014787430683918669,0.2962962962962963,0.02816901408450704,0.014285714285714285,0.73046875,0.7362691736763978,0.2637308263236022,0.7037037037037037,54,1082,20.037037037037038
TestingSet,1,TestingSet_000001,1,0.05,16,1066,38,2976,0.014787430683918669,0.2962962962962963,0.02816901408450704,0.014285714285714285,0.73046875,0.7362691736763978,0.2637308263236022,0.7037037037037037,54,1082,20.037037037037038
TestingSet,1,TestingSet_000001,1,0.06,16,1066,38,2976,0.014787430683918669,0.2962962962962963,0.02816901408450704,0.014285714285714285,0.73046875,0.7362691736763978,0.2637308263236022,0.7037037037037037,54,1082,20.037037037037038
TestingSet,1,TestingSet_000001,1,0.07,16,1066,38,2976,0.014787430683918669,0.2962962962962963,0.02816901408450704,0.014285714285714285,0.73046875,0.7362691736763978,0.2637308263236022,0.7037037037037037,54,1082,20.037037037037038
TestingSet,1,TestingSet_000001,1,0.08,16,1066,38,2976,0.014787430683918669,0.2962962962962963,0.02816901408450704,0.014285714285714285,0.73046875,0.7362691736763978,0.2637308263236022,0.7037037037037037,54,1082,20.037037037037038
TestingSet,1,TestingSet_000001,1,0.09,16,1066,38,2976,0.014787430683918669,0.2962962962962963,0.02816901408450704,0.014285714285714285,0.73046875,0.7362691736763978,0.2637308263236022,0.7037037037037037,54,1082,20.037037037037038
TestingSet,1,TestingSet_000001,1,0.1,16,1066,38,2976,0.014787430683918669,0.2962962962962963,0.02816901408450704,0.014285714285714285,0.73046875,0.7362691736763978,0.2637308263236022,0.7037037037037037,54,1082,20.037037037037038
