test_set,dataset_folder,method,postprocess,threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.01,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.02,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.03,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.04,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.05,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.06,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.07,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.08,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.09,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.1,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.11,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.12,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.13,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.14,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.15,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.16,154,4709,206,15411,0.03166769483857701,0.42777777777777776,0.05896994064713766,0.030380745709212863,0.760009765625,0.7659542743538768,0.23404572564612325,0.5722222222222222
