tamper_type,num_images,total_positive_gt_pixels,total_predicted_positive_pixels,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate,mean_f1,median_f1,std_f1,mean_iou,median_iou,std_iou,mean_precision,mean_recall,mean_mask_area_ratio,mean_predicted_area_ratio,mean_error_area_ratio
generation,4,236,1544,31,1513,205,14635,0.020077720207253884,0.13135593220338984,0.03483146067415731,0.017724413950829045,0.8951416015625,0.9063041862769383,0.09369581372306168,0.8686440677966102,0.032880206174069684,0.02274404174556187,0.022663745971108536,0.016851340505901768,0.011517069820956747,0.01184287146597523,0.02014832552757021,0.1395412457912458,0.014404296875,0.09423828125,0.1048583984375
copy_move,11,866,5068,195,4873,671,39317,0.03847671665351223,0.2251732101616628,0.06572295247724974,0.03397804495556717,0.876953125,0.8897261823942069,0.11027381760579316,0.7748267898383372,0.05658033944327298,0.03125,0.03340891829910663,0.02942046719802116,0.015873015873015872,0.01783986535474169,0.035270916436246316,0.211163752072843,0.01922052556818182,0.11248224431818182,0.123046875
