test_set,tamper_type,analysis_only,threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate
TestingSet,generation,True,0.56,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.57,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.58,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.59,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.6,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.61,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.62,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.63,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.64,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.65,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.66,16,623,166,11483,0.025039123630672927,0.08791208791208792,0.0389768574908648,0.01987577639751553,0.935791015625,0.9485379150834297,0.0514620849165703,0.9120879120879121
TestingSet,generation,True,0.67,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.68,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.69,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.7,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.71,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.72,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.73,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.74,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.75,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.76,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.77,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.78,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.79,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.8,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.81,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.82,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.83,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
