test_set,dataset_folder,method,postprocess,threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.01,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.02,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.03,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.04,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.05,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.06,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.07,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.08,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.09,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.1,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.11,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.12,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.13,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.14,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.15,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.16,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.17,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.18,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.19,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.2,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.21,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.22,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.23,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.24,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.25,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.26,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.27,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.28,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.29,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.3,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.31,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.32,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.33,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.34,106,2576,384,21510,0.0395227442207308,0.2163265306122449,0.06683480453972258,0.03457273320287019,0.8795572916666666,0.8930499045088434,0.1069500954911567,0.7836734693877551
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.35,106,2576,384,21510,0.0395227442207308,0.2163265306122449,0.06683480453972258,0.03457273320287019,0.8795572916666666,0.8930499045088434,0.1069500954911567,0.7836734693877551
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.36,106,2576,384,21510,0.0395227442207308,0.2163265306122449,0.06683480453972258,0.03457273320287019,0.8795572916666666,0.8930499045088434,0.1069500954911567,0.7836734693877551
TestingSet,DocTamperV1-TestingSet,grayscale + H95,no_blob,0.37,106,2576,384,21510,0.0395227442207308,0.2163265306122449,0.06683480453972258,0.03457273320287019,0.8795572916666666,0.8930499045088434,0.1069500954911567,0.7836734693877551
