threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate,test_set,analysis_only
0.01,220,5675,270,18411,0.037319762510602206,0.4489795918367347,0.06891151135473766,0.035685320356853206,0.7580973307291666,0.7643859503445986,0.23561404965540148,0.5510204081632653,TestingSet,True
0.01,100,3879,152,12253,0.025131942699170646,0.3968253968253968,0.04727014890096903,0.02420721374969741,0.75396728515625,0.7595462434911976,0.24045375650880238,0.6031746031746031,FCD,True
0.34,87,2320,273,17800,0.03614457831325301,0.24166666666666667,0.06288398988073726,0.03246268656716418,0.873388671875,0.8846918489065606,0.11530815109343936,0.7583333333333333,SCD,True
