threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate,test_set,tamper_type,analysis_only
0.01,76,2945,106,9161,0.025157232704402517,0.4175824175824176,0.04745551045894474,0.024304445155100735,0.751708984375,0.7567321989096316,0.2432678010903684,0.5824175824175825,TestingSet,generation,True
0.34,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75,TestingSet,copy_move,True
0.01,84,2813,114,9277,0.028995512599240592,0.42424242424242425,0.054281098546041996,0.027897708402524077,0.7618001302083334,0.767328370554177,0.23267162944582298,0.5757575757575758,FCD,copy_move,True
0.01,16,1066,38,2976,0.014787430683918669,0.2962962962962963,0.02816901408450704,0.014285714285714285,0.73046875,0.7362691736763978,0.2637308263236022,0.7037037037037037,FCD,generation,True
0.34,87,2320,273,17800,0.03614457831325301,0.24166666666666667,0.06288398988073726,0.03246268656716418,0.873388671875,0.8846918489065606,0.11530815109343936,0.7583333333333333,SCD,copy_move,True
